iso3,sea_level_exposure_pop_below_5m_pct,flood_deaths_latest,drought_deaths_latest,wildfire_deaths_latest,heat_deaths_latest,cereal_yield_anomaly_pct_latest,water_stress_pct_latest,freshwater_resources_per_capita_m3_latest,pm25_ug_m3_latest,air_pollution_death_rate_per_100k_latest,nd_gain_readiness_latest,coal_share_latest_pct
NAC,1.92741400588349,,,,,15.203577944292526,,15197.6150469581,7.68626814153951,13.5761693296771,,
NAM,0.187784026474826,16.0,0.0,,,3.6907661901916633,0.314668328,2131.73720663524,19.9945355710926,142.5,0.3797610107038,1.5873016
NCL,10.8664539818011,,,,,111.12288832363058,,,,,,36.893204
NER,0.0,396.0,0.0,,,8.728057489932592,11.02093771,138.274483778882,85.1223455605238,213.3,0.334762625328975,22.5
NGA,3.52576087697703,259.0,0.0,,60.0,7.8207467030595,9.668217054,990.36124865033,56.5313287289257,165.2,0.252553196718334,0.0
NIC,1.7969652670308,4.0,0.0,0.0,,31.096019638603828,2.220900209,23208.7401907749,16.809772538789,84.4,0.279448897785953,0.0
NLD,53.6880948779583,0.0,,,234.0,-1.3659767633412478,16.65850698,621.434449229992,10.8892498470498,13.1,0.67132502165124,7.0667458
NOR,7.15075669196258,0.0,,,18.0,-30.087028124064645,2.044007605,70000.2034037324,6.05589724673443,7.9,0.764780821430272,0.018771116
NPL,0.0,57.0,0.0,11.0,50.0,33.910463419175436,8.311832662,6669.93410428169,45.7207706412594,177.9,0.362091270188631,0.0
NRU,16.5568128235512,,,,,,,847.385814761461,6.06435493209495,,0.577583840077097,0.0
NZL,3.28780797652116,4.0,0.0,0.0,0.0,10.608451127496744,8.04808476,64348.5447783222,6.48591499675774,12.2,0.689671937870359,3.7561853
OED,3.89604102884253,,,,,13.151136268298671,,9317.75296474361,12.228691730236,20.141339661698,,
OMN,6.84452843415434,27.0,,,,252.33711797255359,116.7142857,295.968945247014,39.5835768902765,104.0,0.504192573420417,0.0
OSS,6.10138644626284,,,,,41.129568097640295,,24128.6515831821,16.758966950265,92.4358636685935,,
PAK,0.448811415274458,1037.0,77.0,4.0,568.0,32.419442409931825,109.9932519,225.68670277788,42.9981734249878,192.1,0.299420228815684,13.953871
PAN,6.00466167962404,0.0,0.0,0.0,,44.908035579677374,0.90107111,31040.0013815755,11.4700607490209,27.3,0.380230032457491,3.5742037
PER,0.661118653974335,7.0,0.0,14.0,21.0,25.211523610281716,4.82842772,49021.0165435326,27.0356284968814,37.9,0.388530029533557,0.12529366
PHL,10.5243953512241,7.0,0.0,2.0,0.0,18.45493036655145,27.83151711,4203.06920924684,20.2887417122616,202.8,0.355934777426713,62.513905
PLW,12.2852393676251,,0.0,,,,,,7.32770979431049,,0.444756493701615,
PNG,7.56072060559768,19.0,24.0,0.0,,11.886640981865211,0.132242833,78505.0213320979,17.3105425567239,189.6,0.291471114074833,0.0
POL,1.58578229608631,0.0,0.0,35.0,1780.0,42.427112567962546,32.48528903,1455.66143531096,17.9583314936851,40.9,0.536466125827891,50.711422
PRE,2.04827793657994,,,,,15.372223668809221,,3395.92820863332,40.7072055821173,176.813388117854,,
PRI,8.05715862970199,0.0,0.0,,,41.334903547261945,19.53561063,2204.8751341946,7.18841521712249,,,18.643164
PRK,4.89204847762075,0.0,0.0,,0.0,1.1482874678281632,27.7404678,2544.73753026386,29.9291062464217,212.8,0.339537158758866,34.764595
